model,category,accuracy,ci_lo,ci_hi,k,n
Qwen3.5 27B,Uroradiology & genital male imaging,90.0,59.6,98.2,9,10
Qwen3.5 27B,Others,75.0,40.9,92.9,6,8
Qwen3.5 27B,Breast imaging,100.0,56.6,100.0,5,5
Qwen3.5 27B,Head & neck imaging,92.3,66.7,98.6,12,13
Qwen3.5 27B,Neuroradiology,78.0,63.3,88.0,32,41
Qwen3.5 27B,Chest imaging,63.6,35.4,84.8,7,11
Qwen3.5 35B,Overall,84.1,78.5,88.4,174,207
Qwen3.5 35B,Musculoskeletal system,89.4,77.4,95.4,42,47
Qwen3.5 35B,Paediatric radiology,80.0,62.7,90.5,24,30
Qwen3.5 35B,Cardiovascular,50.0,18.8,81.2,3,6
Qwen3.5 35B,Abdominal imaging,83.3,68.1,92.1,30,36
Qwen3.5 35B,Uroradiology & genital male imaging,100.0,72.2,100.0,10,10
Qwen3.5 35B,Others,75.0,40.9,92.9,6,8
Qwen3.5 35B,Breast imaging,100.0,56.6,100.0,5,5
Qwen3.5 35B,Head & neck imaging,92.3,66.7,98.6,12,13
Qwen3.5 35B,Neuroradiology,82.9,68.7,91.5,34,41
Qwen3.5 35B,Chest imaging,72.7,43.4,90.3,8,11
Qwen3.5 35B FT,Overall,87.9,82.8,91.7,182,207
Qwen3.5 35B FT,Musculoskeletal system,95.7,85.8,98.8,45,47
Qwen3.5 35B FT,Paediatric radiology,86.7,70.3,94.7,26,30
Qwen3.5 35B FT,Cardiovascular,66.7,30.0,90.3,4,6
Qwen3.5 35B FT,Abdominal imaging,88.9,74.7,95.6,32,36
Qwen3.5 35B FT,Uroradiology & genital male imaging,90.0,59.6,98.2,9,10
Qwen3.5 35B FT,Others,62.5,30.6,86.3,5,8
Qwen3.5 35B FT,Breast imaging,100.0,56.6,100.0,5,5
Qwen3.5 35B FT,Head & neck imaging,84.6,57.8,95.7,11,13
Qwen3.5 35B FT,Neuroradiology,85.4,71.6,93.1,35,41
Qwen3.5 35B FT,Chest imaging,90.9,62.3,98.4,10,11
Gemma 4 31B,Overall,86.5,81.1,90.5,179,207
Gemma 4 31B,Musculoskeletal system,89.4,77.4,95.4,42,47
Gemma 4 31B,Paediatric radiology,83.3,66.4,92.7,25,30
Gemma 4 31B,Cardiovascular,83.3,43.6,97.0,5,6
Gemma 4 31B,Abdominal imaging,83.3,68.1,92.1,30,36
Gemma 4 31B,Uroradiology & genital male imaging,100.0,72.2,100.0,10,10
Gemma 4 31B,Others,75.0,40.9,92.9,6,8
Gemma 4 31B,Breast imaging,100.0,56.6,100.0,5,5
Gemma 4 31B,Head & neck imaging,84.6,57.8,95.7,11,13
Gemma 4 31B,Neuroradiology,87.8,74.5,94.7,36,41
Gemma 4 31B,Chest imaging,81.8,52.3,94.9,9,11
