,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,qwen3.5 9B v,gpt5-0807-m,qwen3.5 27B v,gpt-5.1-1113-m,gpt-5-mini-0807-m,qwen3.5 35B v,o4-mini-m,ds-r1-0528-v,gemini-3.1-pro-m,,oss20b (L) v,oss20b (M) v,oss20b (H) v,,oss120b (L) v,oss120b (H) v,oss120b (M) v,gpt-5-mini-0807-m,
,,,,,,,,,,,,,,,,,,,,
Type,Topic,qwen3.5 9b,GPT-5,qwen3.5 27b,gpt-5.1-1113,gpt-5-mini-0807,qwen3.5 35b,GPT-4o-mini,DeepSeek-R1,gemini-3.1-pro,,oss20b (L),oss20b (M),oss20b (H),,oss120b (L),oss120b (H),oss120b (M),gpt-5-mini-0807,
Management,Ocular Trauma,57.7 (38.9-74.5),57.7 (38.9-74.5),61.5 (42.5-77.6),65.4 (46.2-80.6),No Data,57.7 (38.9-74.5),69.2 (50.0-83.5),76.9 (57.9-89.0),65.4 (46.2-80.6),,No Data,57.7 (38.9-74.5),50.0 (32.1-67.9),#REF!,65.4 (46.2-80.6),57.7 (38.9-74.5),76.9 (57.9-89.0),57.7 (38.9-74.5),
Management,Refractive Disorders/Strabismus,91.7 (64.6-98.5),83.3 (55.2-95.3),91.7 (64.6-98.5),83.3 (55.2-95.3),No Data,83.3 (55.2-95.3),83.3 (55.2-95.3),91.7 (64.6-98.5),91.7 (64.6-98.5),,No Data,58.3 (32.0-80.7),83.3 (55.2-95.3),#REF!,83.3 (55.2-95.3),83.3 (55.2-95.3),91.7 (64.6-98.5),75.0 (46.8-91.1),
Average Diagnosis ,,82.1 (67.3-91.0),87.2 (73.3-94.4),89.7 (76.4-95.9),87.2 (73.3-94.4),No Data,87.2 (73.3-94.4),84.6 (70.3-92.8),92.3 (79.7-97.3),92.3 (79.7-97.3),,No Data,74.4 (58.9-85.4),79.5 (64.5-89.2),#REF!,82.1 (67.3-91.0),82.1 (67.3-91.0),84.6 (70.3-92.8),87.2 (73.3-94.4),
Average Management ,,64.8 (54.6-73.9),68.1 (58.0-76.8),68.1 (58.0-76.8),72.5 (62.6-80.6),No Data,70.3 (60.3-78.7),65.9 (55.7-74.8),73.6 (63.7-81.6),72.5 (62.6-80.6),,No Data,59.3 (49.1-68.9),60.4 (50.2-69.9),#REF!,69.2 (59.1-77.8),64.8 (54.6-73.9),74.7 (64.9-82.5),59.3 (49.1-68.9),
Average of Manag and DIag Weighted,,70.0,73.8,74.6,76.9,Error parsing,75.4,71.5,79.2,78.4,,Error parsing,63.8,66.1,#REF!,73.1,70.0,77.7,67.7,
Average All Data,,70.0 (61.6-77.2),73.8 (65.7-80.6),74.6 (66.5-81.3),76.9 (69.0-83.3),67.7 (59.2-75.1),75.4 (67.3-82.0),71.5 (63.3-78.6),79.2 (71.5-85.3),78.5 (70.6-84.7),,59.2 (50.6-67.3),63.8 (55.3-71.6),66.2 (57.7-73.7),#REF!,73.1 (64.9-80.0),70.0 (61.6-77.2),77.7 (69.8-84.0),67.7 (59.2-75.1),
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,gpt-5.1-1113-m,gpt5-0807-m,gpt-5-mini-0807-m,o4-mini-m,ds-r1-0528-v,gemini-3.1-pro-m,oss20b (L) v,oss20b (M) v,oss20b (H) v,,oss120b (L) v,oss120b (M) v,oss120b (H) v,,qwen3.5 35B v,qwen3.5 27B v,qwen3.5 9B v,,
,,,,,,,,,,,,,,,,,,,,
Type,Topic,gpt-5.1-1113,GPT-5,gpt-5-mini-0807,GPT-4o-mini,DeepSeek-R1,gemini-3.1-pro,oss20b (L),oss20b (M),oss20b (H),,oss120b (L),oss120b (M),oss120b (H),,qwen3.5 35b,qwen3.5 27b,qwen3.5 9b,,
Diagnosis,Glaucoma,100.0 (64.6-100.0),100.0 (64.6-100.0),100.0 (64.6-100.0),85.7 (48.7-97.4),100.0 (64.6-100.0),100.0 (64.6-100.0),71.4 (35.9-91.8),85.7 (48.7-97.4),85.7 (48.7-97.4),,85.7 (48.7-97.4),85.7 (48.7-97.4),85.7 (48.7-97.4),,100.0 (64.6-100.0),100.0 (64.6-100.0),100.0 (64.6-100.0),,
